# Comparing packages installed on Amazon Linux 2023 Images
# https://docs.aws.amazon.com/en_us/linux/al2023/ug/image-comparison.html
# Excluded: amazon-linux-repo-s3 coreutils grub2-efi-aa64-ec2 grub2-efi-x64-ec2 microcode_ctl
Package                          AMI              Minimal AMI      Container       Install?
acl                              2.3.1            -                -               YES
acpid                            2.0.32           -                -               YES
alternatives                     1.15             1.15             1.15            NO
amazon-chrony-config             4.3              4.3              -               YES
amazon-ec2-net-utils             2.4.1            2.4.1            -               YES
amazon-linux-repo-cdn            -                -                2023.4.20240513 NO
amazon-linux-repo-s3             2023.4.20240513  2023.4.20240513  -               NO
amazon-linux-sb-keys             2023.1           2023.1           -               YES
amazon-rpm-config                228              -                -               YES
amazon-ssm-agent                 3.3.380.0        -                -               YES
at                               3.1.23           -                -               YES
attr                             2.5.1            -                -               YES
audit                            3.0.6            3.0.6            -               YES
audit-libs                       3.0.6            3.0.6            3.0.6           NO
aws-cfn-bootstrap                2                -                -               YES
awscli-2                         2.15.30          2.15.30          -               YES
basesystem                       11               11               11              NO
bash                             5.2.15           5.2.15           5.2.15          NO
bash-completion                  2.11             -                -               YES
bc                               1.07.1           -                -               YES
bind-libs                        9.16.48          -                -               YES
bind-license                     9.16.48          -                -               YES
bind-utils                       9.16.48          -                -               YES
binutils                         2.39             -                -               YES
boost-filesystem                 1.75.0           -                -               YES
boost-system                     1.75.0           -                -               YES
boost-thread                     1.75.0           -                -               YES
bzip2                            1.0.8            -                -               YES
bzip2-libs                       1.0.8            1.0.8            1.0.8           NO
ca-certificates                  2023.2.64        2023.2.64        2023.2.64       NO
c-ares                           1.19.0           -                -               YES
checkpolicy                      3.4              3.4              -               YES
chkconfig                        1.15             -                -               YES
chrony                           4.3              4.3              -               YES
cloud-init                       22.2.2           22.2.2           -               YES
cloud-init-cfg-ec2               22.2.2           22.2.2           -               YES
cloud-utils-growpart             0.31             0.31             -               YES
coreutils                        8.32             8.32             -               NO
coreutils-common                 8.32             8.32             -               YES
coreutils-single                 -                -                8.32            NO
cpio                             2.13             2.13             -               YES
cracklib                         2.9.6            2.9.6            -               YES
cracklib-dicts                   2.9.6            2.9.6            -               YES
crontabs                         1.11             -                -               YES
crypto-policies                  20220428         20220428         20220428        NO
crypto-policies-scripts          20220428         -                -               YES
cryptsetup                       2.6.1            -                -               YES
cryptsetup-libs                  2.6.1            2.6.1            -               YES
curl-minimal                     8.5.0            8.5.0            8.5.0           NO
cyrus-sasl-lib                   2.1.27           2.1.27           -               YES
cyrus-sasl-plain                 2.1.27           -                -               YES
dbus                             1.12.28          1.12.28          -               YES
dbus-broker                      32               32               -               YES
dbus-common                      1.12.28          1.12.28          -               YES
dbus-libs                        1.12.28          1.12.28          -               YES
device-mapper                    1.02.185         1.02.185         -               YES
device-mapper-libs               1.02.185         1.02.185         -               YES
diffutils                        3.8              3.8              -               YES
dnf                              4.14.0           4.14.0           4.14.0          NO
dnf-data                         4.14.0           4.14.0           4.14.0          NO
dnf-plugin-release-notification  1.2              1.2              -               YES
dnf-plugins-core                 4.3.0            4.3.0            -               YES
dnf-plugin-support-info          1.2              1.2              -               YES
dnf-utils                        4.3.0            -                -               YES
dosfstools                       4.2              -                -               YES
dracut                           55               55               -               YES
dracut-config-ec2                3                3                -               YES
dracut-config-generic            55               55               -               YES
dwz                              0.14             -                -               YES
dyninst                          10.2.1           -                -               YES
e2fsprogs                        1.46.5           1.46.5           -               YES
e2fsprogs-libs                   1.46.5           1.46.5           -               YES
ec2-hibinit-agent                1.0.8            -                -               YES
ec2-instance-connect             1.1              -                -               YES
ec2-instance-connect-selinux     1.1              -                -               YES
ec2-utils                        2.2.0            2.2.0            -               YES
ed                               1.14.2           -                -               YES
efi-filesystem                   5                5                -               YES
efi-srpm-macros                  5                -                -               YES
efivar                           38               38               -               YES
efivar-libs                      38               38               -               YES
elfutils-debuginfod-client       0.188            -                -               YES
elfutils-default-yama-scope      0.188            0.188            0.188           NO
elfutils-libelf                  0.188            0.188            0.188           NO
elfutils-libs                    0.188            0.188            0.188           NO
ethtool                          5.15             -                -               YES
expat                            2.5.0            2.5.0            2.5.0           NO
file                             5.39             5.39             -               YES
file-libs                        5.39             5.39             5.39            NO
filesystem                       3.14             3.14             3.14            NO
findutils                        4.8.0            4.8.0            -               YES
fonts-srpm-macros                2.0.5            -                -               YES
fstrm                            0.6.1            -                -               YES
fuse-libs                        2.9.9            2.9.9            -               YES
gawk                             5.1.0            5.1.0            5.1.0           NO
gdbm-libs                        1.19             1.19             1.19            NO
gdisk                            1.0.8            1.0.8            -               YES
gettext                          0.21             0.21             -               YES
gettext-libs                     0.21             0.21             -               YES
ghc-srpm-macros                  1.5.0            -                -               YES
glib2                            2.74.7           2.74.7           2.74.7          NO
glibc                            2.34             2.34             2.34            NO
glibc-all-langpacks              2.34             2.34             -               YES
glibc-common                     2.34             2.34             2.34            NO
glibc-gconv-extra                2.34             -                -               YES
glibc-locale-source              2.34             2.34             -               YES
glibc-minimal-langpack           -                -                2.34            NO
gmp                              6.2.1            6.2.1            6.2.1           NO
gnupg2-minimal                   2.3.7            2.3.7            2.3.7           NO
gnutls                           3.8.0            3.8.0            -               YES
go-srpm-macros                   3.2.0            -                -               YES
gpgme                            1.15.1           1.15.1           1.15.1          NO
gpm-libs                         1.20.7           -                -               YES
grep                             3.8              3.8              3.8             NO
groff-base                       1.22.4           1.22.4           -               YES
grub2-common                     2.06             2.06             -               YES
grub2-efi-aa64-ec2               2.06 (aarch64)   2.06 (aarch64)   -               NO
grub2-efi-x64-ec2                2.06 (x86_64)    2.06 (x86_64)    -               NO
grub2-pc-modules                 2.06             2.06             -               YES
grub2-tools                      2.06             2.06             -               YES
grub2-tools-minimal              2.06             2.06             -               YES
grubby                           8.4              8.4              -               YES
gssproxy                         0.8.4            -                -               YES
gzip                             1.12             1.12             -               YES
hostname                         3.23             3.23             -               YES
hunspell                         1.7.0            -                -               YES
hunspell-en                      0.20140811.1     -                -               YES
hunspell-en-GB                   0.20140811.1     -                -               YES
hunspell-en-US                   0.20140811.1     -                -               YES
hunspell-filesystem              1.7.0            -                -               YES
hwdata                           0.353            0.353            -               YES
info                             6.7              -                -               YES
inih                             49               49               -               YES
initscripts                      10.09            10.09            -               YES
iproute                          5.10.0           5.10.0           -               YES
iputils                          20210202         20210202         -               YES
irqbalance                       1.9.0            1.9.0            -               YES
jansson                          2.14             2.14             -               YES
jitterentropy                    3.4.1            3.4.1            -               YES
jq                               1.7.1            1.7.1            -               YES
json-c                           0.14             0.14             0.14            NO
kbd                              2.4.0            2.4.0            -               YES
kbd-misc                         2.4.0            2.4.0            -               YES
kernel                           6.1.90           6.1.90           -               YES
kernel-livepatch-repo-s3         2023.4.20240513  2023.4.20240513  -               YES
kernel-srpm-macros               1                -                -               YES
kernel-tools                     6.1.90           -                -               YES
keyutils                         1.6.3            -                -               YES
keyutils-libs                    1.6.3            1.6.3            1.6.3           NO
kmod                             29               29               -               YES
kmod-libs                        29               29               -               YES
kpatch-runtime                   0.9.7            -                -               YES
krb5-libs                        1.21             1.21             1.21            NO
less                             608              608              -               YES
libacl                           2.3.1            2.3.1            2.3.1           NO
libaio                           0.3.111          -                -               YES
libarchive                       3.5.3            3.5.3            3.5.3           NO
libargon2                        20171227         20171227         -               YES
